case_id,worker_index,nfp,n_base_coils,status,score,iota_min,iota_max,score_wall_s
232,4,8,3,no_axis,0.11917046065752963,nan,nan,3.6330186696723104
233,5,8,3,no_surface,0.26479968116387687,nan,nan,4.0387711971998215
234,0,8,3,no_axis,0.11465659139710921,nan,nan,3.679369192570448
235,1,8,3,no_surface,0.24446203011517875,nan,nan,4.001167379319668
236,2,8,3,no_axis,0.11560863441051086,nan,nan,3.608551546931267
237,3,8,3,ok,23.24773682776346,2.09605724493024,2.3280383348464966,4.139984677080065
238,4,8,3,ok,5.327393415076374,1.1992683410644531,1.7362328081204492,4.079188140109181
239,5,8,3,no_surface,0.2548928251645785,nan,nan,4.038142860867083
240,0,8,3,no_surface,0.27295180653313206,nan,nan,4.052686423063278
241,1,8,3,no_surface,0.2607626442217607,nan,nan,4.00137635320425
242,2,8,3,no_surface,0.2595018834697989,nan,nan,3.985309239476919
243,3,8,3,no_axis,0.1169183175302277,nan,nan,3.6290393718518317
244,4,8,3,no_axis,0.11337970155542317,nan,nan,3.6327069588005543
245,5,8,3,ok,4.574714051405997,1.8990495651960373,1.9148227474114055,4.1137218228541315
246,0,8,3,no_surface,0.25956058795770426,nan,nan,4.052902765572071
247,1,8,3,no_axis,0.11417234338544646,nan,nan,3.6269074603915215
248,2,8,3,no_surface,0.26939660582143393,nan,nan,3.9811506159603596
249,3,8,3,no_axis,0.11822079388863405,nan,nan,3.627628343179822
250,4,8,3,no_surface,0.2715359976205689,nan,nan,4.14579992601648
251,5,8,3,no_axis,0.11859836970912963,nan,nan,3.6623550527729094
252,0,8,3,no_axis,0.1162004225681904,nan,nan,3.6783197559416294
253,1,8,3,no_axis,0.12156369875582113,nan,nan,3.6275604516267776
254,2,8,3,no_axis,0.12092142267397687,nan,nan,3.6100942753255367
255,3,8,3,no_axis,0.11965809460861435,nan,nan,3.634431397076696
256,4,8,3,no_surface,0.2672428082006776,nan,nan,4.005644727032632
257,5,8,3,no_axis,0.1135118056139727,nan,nan,3.6817998876795173
258,0,8,3,no_surface,0.2506836682002628,nan,nan,4.0593036860227585
259,1,8,3,no_surface,0.24700600370280165,nan,nan,4.001194503158331
260,2,8,3,no_surface,0.24792078300006926,nan,nan,3.982007533311844
261,3,8,3,no_axis,0.11665370336840782,nan,nan,3.6267629130743444
262,4,8,3,no_axis,0.11667235672863503,nan,nan,3.6323631121777
263,5,8,3,no_surface,0.24369374530241156,nan,nan,4.039608176331967
264,0,8,3,ok,5.25252554690041,1.822225678325775,1.8584540337324142,4.135088641196489
265,1,8,3,ok,4.545122729015863,1.9086774739845502,1.9813679456710815,4.077608808875084
266,2,8,3,no_surface,0.2478827359874819,nan,nan,3.981742739677429
267,3,8,3,no_surface,0.26969217358546854,nan,nan,4.031371198128909
268,4,8,3,ok,32.688341315090796,1.4605091214179993,1.6852500366627905,4.150484264828265
269,5,8,3,no_surface,0.2614337266372355,nan,nan,4.039047673810273
270,0,8,3,ok,4.132533871633789,1.6350253820419312,1.7791639077676293,4.135255970060825
271,1,8,3,ok,10.277804238577744,1.4796422719955444,1.8570647951025143,4.142177183181047
272,2,8,3,no_surface,0.23716160442592643,nan,nan,3.981578044593334
273,3,8,3,no_axis,0.1154803048549895,nan,nan,3.6684065549634397
274,4,8,3,no_surface,0.24888271639531775,nan,nan,4.004848871845752
275,5,8,3,no_axis,0.11444886571185908,nan,nan,3.664476747158915
276,0,8,3,no_surface,0.24921063127374343,nan,nan,4.05646014586091
277,1,8,3,no_surface,0.2542928856588678,nan,nan,4.001952640712261
278,2,8,3,no_axis,0.11678277290814865,nan,nan,3.6091951802372932
279,3,8,3,no_surface,0.28450062094872214,nan,nan,3.9998044702224433
280,4,8,3,ok,24.247816199286635,1.4541215896606445,1.6486389551595568,4.162014167755842
281,5,8,3,no_axis,0.11371847633475488,nan,nan,3.6641904241405427
282,0,8,3,ok,4.033275972532103,1.645202827992261,1.833309292793274,4.129787404090166
283,1,8,3,no_axis,0.11678343473551074,nan,nan,3.6254142709076405
284,2,8,3,no_surface,0.257192838330469,nan,nan,3.9834812469780445
285,3,8,3,ok,6.735400227659544,2.007549771453392,2.062372475862503,4.074499193113297
286,4,8,3,no_axis,0.11512673856080238,nan,nan,3.632265143096447
287,5,8,3,no_surface,0.24944659297592092,nan,nan,4.039003108162433
288,0,8,3,no_surface,0.2623836496301666,nan,nan,4.057200934737921
289,1,8,3,no_axis,0.1177919356124425,nan,nan,3.6260159574449062
290,2,8,3,no_surface,0.24312358446090976,nan,nan,3.9830567091703415
291,3,8,3,ok,21.447414869557793,2.2920694964271227,2.3472448885440826,4.076640854589641
292,4,8,3,no_axis,0.1111763158029384,nan,nan,3.632359903305769
293,5,8,3,no_surface,0.26147072137491517,nan,nan,4.0371733428910375
294,0,8,3,no_surface,0.25102269158894097,nan,nan,4.05587375164032
295,1,8,3,no_axis,0.11954422548086996,nan,nan,3.6254026666283607
296,2,8,3,no_axis,0.11234470084711644,nan,nan,3.6120263673365116
297,3,8,3,no_axis,0.11036959228976234,nan,nan,3.6294784410856664
298,4,8,3,no_axis,0.1144296899249754,nan,nan,3.633657452184707
299,5,8,3,ok,5.091233213523927,2.097705152198915,2.2286258339881897,4.115639485884458
300,0,8,3,ok,4.9632099607826285,2.2850250939573966,2.4532496333122253,4.130377653986216
301,1,8,3,no_surface,0.28511256008114916,nan,nan,4.001087266951799
302,2,8,3,ok,35.304910715042325,1.4747077226638794,1.7987901903951908,4.1231783255934715
303,3,8,3,no_axis,0.12002456206294876,nan,nan,3.6234051771461964
304,4,8,3,flux_rejected,0.2715876261255569,nan,nan,4.059879674110562
305,5,8,3,ok,29.083293126066916,1.876817524433136,2.081829973132961,4.2047150819562376
306,0,8,3,no_surface,0.25679040864769653,nan,nan,4.056086972355843
307,1,8,3,no_axis,0.11568274865712368,nan,nan,3.625370752066374
308,2,8,3,no_axis,0.12109372144658975,nan,nan,3.611292902380228
309,3,8,3,no_surface,0.25757882927795483,nan,nan,3.9996621562168
310,4,8,3,no_surface,0.2627556617421731,nan,nan,4.0035032676532865
311,5,8,3,no_axis,0.10978658441664368,nan,nan,3.6608931170776486
312,0,8,3,no_surface,0.25154886534729115,nan,nan,4.0846891440451145
313,1,8,3,no_surface,0.2864463824292934,nan,nan,3.9974888414144516
314,2,8,3,no_surface,0.27403585300011074,nan,nan,3.980136390775442
315,3,8,3,no_surface,0.2491552406420089,nan,nan,3.9992105211131275
316,4,8,3,no_axis,0.12036613085138226,nan,nan,3.6327123548835516
317,5,8,3,no_surface,0.2517051284279227,nan,nan,4.035054815001786
318,0,8,3,no_surface,0.24910644143762517,nan,nan,4.0581847205758095
319,1,8,3,no_surface,0.2577295150237558,nan,nan,3.997662179172039
320,2,8,3,no_surface,0.259288597403746,nan,nan,3.985747557133436
321,3,8,3,no_surface,0.25350785145712473,nan,nan,4.0004074508324265
322,4,8,3,no_axis,0.11482978903648332,nan,nan,3.6333596096374094
323,5,8,3,ok,4.345976364621873,1.988835096359253,2.4116670036148298,4.113076376263052
324,0,8,3,ok,5.462104262583231,1.9546003341674805,2.229587918536322,4.131299082189798
325,1,8,3,no_surface,0.2613531009758539,nan,nan,4.000294465571642
